ave,velocidad,n2,img,url
Halcón Peregrino,360 km/h,Falco peregrinus,http://www.bioenciclopedia.com/wp-content/uploads/2013/11/halcon-peregrino2.jpg,https://es.wikipedia.org/wiki/Falco_peregrinus
Águila Real,300 km/h,Aquila chrysaetos,https://miguelangelluna.mx/wp-content/uploads/2018/02/20180207130152_61.jpg,https://es.wikipedia.org/wiki/Aquila_chrysaetos
Vencejo Real,200 km/h,Tachymarptis melba,http://revistasolana.es/media/32836/vencejo-real-volando.jpg,https://es.wikipedia.org/wiki/Tachymarptis_melba
Vencejo Mongol,170 km/hr,Hirundapus caudacutus,http://ahorasabes.com/wp-content/uploads/2015/12/Vencejo-Cafre.jpg,https://es.wikipedia.org/wiki/Hirundapus_caudacutus
Pato serrucho pico rojo,160 km/h,Mergus octosetaceus,https://k37.kn3.net/C4BF599D4.jpg,https://es.wikipedia.org/wiki/Mergus_octosetaceus
Alcatraz Atlántico,160 km/h,Morus bassanus,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Morus_bassanus_adu.jpg/1200px-Morus_bassanus_adu.jpg,https://es.wikipedia.org/wiki/Morus_bassanus
Ave Fregata,153 km/h,Fregata,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUB3ceX04UbuarvnPiefcnHFdihEU5CkLHQbazYjEpSi-sCOqm,https://es.wikipedia.org/wiki/Fregata
Ganso con Espolones,142 km/h,Plectropterus gambensis,https://static.classora.com/files/uploads/images/entries/515620/main.jpg,https://es.wikipedia.org/wiki/Plectropterus_gambensis
Vencejo Cafre,124 km/h,Apus caffer,https://www.seo.org/wp-content/uploads/2013/11/F349_Foto_01.jpg,https://es.wikipedia.org/wiki/Apus_caffer
Cerceta común,120 km/h,Anas crecca,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpdoFNw9wFVpZnT3CL88D0J4KWf7cMwzA-Ajk879ubrLXSBK5Umg,https://es.wikipedia.org/wiki/Anas_crecca
